city,year,weekofyear,total_cases
iq,2012,34,0
iq,2012,35,0
iq,2012,36,0
iq,2012,37,0
iq,2012,38,0
iq,2012,39,0
iq,2012,40,0
iq,2012,41,0
iq,2012,42,0
iq,2012,43,0
iq,2012,44,0
iq,2012,45,0
iq,2012,46,0
iq,2012,47,0
iq,2012,48,0
iq,2012,49,0
iq,2012,50,0
iq,2012,51,0
iq,2013,1,0
iq,2013,2,0
iq,2013,3,0
iq,2013,4,0
iq,2013,5,0
iq,2013,6,0
iq,2013,7,0
iq,2013,8,0
iq,2013,9,0
iq,2013,10,0
iq,2013,11,0
iq,2013,12,0
iq,2013,13,0
iq,2013,14,0
iq,2013,15,0
iq,2013,16,0
iq,2013,17,0
iq,2013,18,0
iq,2013,19,0
iq,2013,20,0
iq,2013,21,0
iq,2013,22,0
iq,2013,23,0
iq,2013,24,0
iq,2013,25,0
iq,2013,26,0
